run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124502","all cores","natural (control)","7",7,0.2557,0.2386,1.5603,1.24394,6.58104,0.32623,0.39840,"tie","we win"
"20260906-124502","all cores","natural (control)","8",8,0.2323,0.2348,1.5621,0.95789,6.77760,0.26705,0.20950,"tie","we win"
"20260906-124502","all cores","natural (control)","9",9,0.2358,0.2365,1.5812,1.01045,6.68758,0.08665,0.09284,"tie","we win"
"20260906-124502","all cores","natural (control)","15",15,0.3919,0.3943,1.7361,0.99194,4.47918,0.04779,0.12538,"tie","we win"
"20260906-124502","all cores","natural (control)","16",16,0.2919,0.2916,1.5708,0.99989,5.43623,0.04097,0.08037,"tie","we win"
"20260906-124502","all cores","natural (control)","17",17,0.3862,0.3851,1.7531,1.00010,4.53128,0.02885,0.05196,"tie","we win"
"20260906-124502","all cores","natural (control)","24",24,0.3913,0.3921,1.5594,1.00150,4.01635,0.03909,0.07180,"tie","we win"
"20260906-124502","all cores","natural (control)","31",31,0.3936,0.3953,1.5971,0.99687,4.12080,0.10158,0.06668,"tie","we win"
"20260906-124502","all cores","natural (control)","32",32,0.3966,0.3988,1.3960,1.00617,3.47907,0.08803,0.11066,"tie","we win"
"20260906-124502","all cores","natural (control)","33",33,0.5455,0.5473,1.4053,1.00658,2.61718,0.06543,0.07190,"tie","we win"
"20260906-124502","all cores","natural (control)","47",47,0.5947,0.5964,1.3446,0.99276,2.39112,0.12918,0.20838,"tie","we win"
"20260906-124502","all cores","natural (control)","50",50,0.8017,0.8062,1.4128,1.00100,1.77346,0.02227,0.07651,"tie","we win"
"20260906-124502","all cores","natural (control)","63",63,0.7756,0.7746,1.5487,1.00150,2.00915,0.03192,0.04605,"tie","we win"
"20260906-124502","all cores","natural (control)","64",64,0.7764,0.7801,1.1715,1.00085,1.50903,0.03841,0.04690,"tie","we win"
"20260906-124502","all cores","natural (control)","65",65,0.7905,0.7844,1.7838,1.00672,2.36302,0.10456,0.14412,"tie","we win"
"20260906-124502","all cores","natural (control)","100",100,1.0163,1.0238,1.6818,0.99868,1.70993,0.11305,0.14469,"tie","we win"
"20260906-124502","all cores","natural (control)","127",127,1.5728,1.5861,1.6848,0.99707,1.07808,0.05097,0.08118,"tie","we win"
"20260906-124502","all cores","natural (control)","128",128,1.5739,1.5791,1.5791,0.98996,1.04191,0.16182,0.13167,"tie","tie"
"20260906-124502","all cores","natural (control)","129",129,1.4393,1.4578,2.7042,1.00784,1.96574,0.19637,0.15886,"tie","we win"
"20260906-124502","all cores","natural (control)","200",200,1.5862,1.5994,2.5798,0.98966,1.63205,0.09893,0.07947,"tie","we win"
"20260906-124502","all cores","natural (control)","250",250,1.8825,1.8700,2.5895,1.01952,1.41072,0.18340,0.14149,"tie","we win"
"20260906-124502","all cores","natural (control)","255",255,2.1041,2.1219,2.5563,0.97813,1.25061,0.18685,0.13238,"tie","we win"
"20260906-124502","all cores","natural (control)","256",256,2.0835,2.1220,2.6155,0.98722,1.25634,0.09823,0.07606,"tie","we win"
"20260906-124502","all cores","natural (control)","257",257,3.0331,3.0646,2.9375,1.00705,0.96358,0.17458,0.62443,"tie","tie"
"20260906-124502","all cores","natural (control)","500",500,3.3537,3.3810,3.7281,0.98186,1.12029,0.08960,0.08302,"tie","we win"
"20260906-124502","all cores","natural (control)","1000",1000,3.6378,3.6844,5.6358,0.98527,1.54498,0.06760,0.09807,"tie","we win"
"20260906-124502","all cores","natural (control)","1023",1023,3.8208,3.7437,5.9488,1.01917,1.57962,0.05378,0.08406,"tie","we win"
"20260906-124502","all cores","natural (control)","1K",1024,3.6739,3.7365,5.8834,0.99088,1.60241,0.06320,0.07654,"tie","we win"
"20260906-124502","all cores","natural (control)","1025",1025,3.7065,3.6956,5.8237,1.00335,1.62371,0.14996,0.06194,"tie","we win"
"20260906-124502","all cores","natural (control)","2047",2047,6.8240,6.8240,9.0072,1.03033,1.32213,0.12317,0.08050,"tie","we win"
"20260906-124502","all cores","natural (control)","4095",4095,13.3215,13.1673,16.0379,1.00928,1.22867,0.10152,0.08543,"tie","we win"
"20260906-124502","all cores","natural (control)","4K",4096,15.7744,15.8131,16.5760,1.00694,1.08933,0.16489,0.12243,"tie","tie"
"20260906-124502","all cores","natural (control)","4097",4097,15.1619,14.9758,15.4542,1.00182,1.04576,0.04855,0.05806,"tie","tie"
"20260906-124502","all cores","scattered","32",32,5.7994,5.8044,6.3511,1.02129,1.11741,0.12264,0.10167,"tie","tie"
