run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124407","all cores","scattered","288",288,29.9887,28.7112,29.5033,1.07525,1.05164,0.14877,0.16169,"tie","tie"
"20260906-124407","all cores","scattered","320",320,31.9342,31.5170,31.9382,0.99881,1.09672,0.19083,0.19111,"tie","tie"
"20260906-124407","all cores","scattered","384",384,35.5803,35.5148,34.3393,1.02383,1.01101,0.23679,0.21505,"tie","tie"
"20260906-124407","all cores","scattered","448",448,38.2522,38.0452,36.7097,1.00336,1.01374,0.20469,0.26154,"tie","tie"
"20260906-124407","all cores","scattered","512",512,38.3217,37.8547,39.3717,1.01796,1.08493,0.20079,0.17996,"tie","tie"
"20260906-124407","all cores","scattered","576",576,38.1917,37.8450,39.4012,1.02990,1.06642,0.20597,0.22000,"tie","tie"
"20260906-124407","all cores","scattered","768",768,48.3518,45.8072,48.3707,1.04984,1.07302,0.17640,0.12214,"tie","tie"
"20260906-124407","all cores","scattered","1K",1024,61.1965,61.5122,62.5493,0.97554,1.05616,0.15203,0.17920,"tie","tie"
"20260906-124407","all cores","scattered","1536",1536,86.5848,87.0517,88.7127,0.98727,1.03947,0.15244,0.12598,"tie","tie"
"20260906-124407","all cores","scattered","2K",2048,115.8170,120.5593,107.1213,0.96924,0.91338,0.15384,0.23145,"tie","tie"
"20260906-124407","all cores","scattered","3K",3072,155.3275,150.1095,156.0292,1.03403,1.07389,0.13344,0.22569,"tie","tie"
"20260906-124407","all cores","scattered","4K",4096,196.1880,200.2575,196.9938,0.96285,1.06710,0.22961,0.25831,"tie","tie"
"20260906-124407","all cores","scattered","8K",8192,420.3783,446.2333,434.5683,0.94565,1.08404,0.18921,0.16100,"tie","tie"
"20260906-124407","all cores","scattered","16K",16384,674.0733,686.0800,696.7233,0.99424,1.04746,0.11219,0.14707,"tie","tie"
"20260906-124407","all cores","scattered","64K",65536,2611.8417,2583.6433,2566.9833,0.99165,1.02526,0.15253,0.16889,"tie","tie"
"20260906-124407","all cores","by declared alignment","256 @32",256,2.4174,1.8118,1.8085,1.31237,0.99465,0.06301,0.08751,"C++ wins","tie"
"20260906-124407","all cores","by declared alignment","256 @16",256,2.4468,1.8229,2.5787,1.32975,1.40905,0.07335,0.06538,"C++ wins","we win"
"20260906-124407","all cores","by declared alignment","256 @8",256,2.4152,2.3795,2.5855,1.01709,1.11663,0.09462,0.07076,"tie","we win"
"20260906-124407","all cores","by declared alignment","256 @1",256,2.3493,2.3585,2.5448,0.99850,1.09642,0.07788,0.10003,"tie","we win"
"20260906-124407","all cores","by declared alignment","1024 @32",1024,3.9111,3.8852,4.5766,1.00823,1.20586,0.03963,0.06554,"tie","we win"
"20260906-124407","all cores","by declared alignment","1024 @16",1024,5.2087,5.3802,4.7995,0.97293,0.91516,0.05380,0.12838,"tie","libc wins"
"20260906-124407","all cores","by declared alignment","1024 @8",1024,5.2074,5.2532,4.8256,0.98562,0.93205,0.04511,0.08636,"tie","libc wins"
"20260906-124407","all cores","by declared alignment","1024 @1",1024,5.2919,5.2877,4.8689,0.99641,0.94738,0.11056,0.14099,"tie","tie"
